sample,Hash,nReads
Apr18_P38_98.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1930
Sep18_P402_43.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1078
Apr18_P28_191.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2874
Sep18_P402_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3525
Apr18_P402_52.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1125
Apr18_P22_105.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2691
Apr18_P12_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4707
Apr18_P4_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2260
Apr18_P38_98.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2137
Apr18_P22_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3616
Sep18_P11_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3855
Sep18_P12_114.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6769
Sep18_P14_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1323
Sep18_P14_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1134
Sep18_P14_140.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2749
Apr18_P4_57.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,489
Apr18_P402_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3351
Apr18_P8_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1679
Sep18_P402_43.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1422
Sep18_P11_78.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2009
Sep18_P14_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,545
Apr18_P12_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2529
Sep18_P11_78.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,358
Apr18_P38_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1978
Sep18_P11_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1271
Apr18_P38_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1985
Sep18_P12_5.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,287
Apr18_P402_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2135
Sep18_P402_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1426
Sep18_P12_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1021
Sep18_P14_140.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1832
Sep18_P12_114.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2480
Apr18_P38_0.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,897
Sep18_P12_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1511
Apr18_P12_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3075
Sep18_P11_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,76
Apr18_P28_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,946
Apr18_P8_122.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3401
Apr18_P12_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3598
Apr18_P8_5.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6146
Apr18_P28_10.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2474
Sep18_P14_140.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3303
Apr18_P8_122.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6234
Sep18_P14_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1556
Sep18_P14_0.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,563
Apr18_P402_52.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2492
Apr18_P8_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6790
Apr18_P22_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2887
Sep18_P12_0.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2716
Apr18_P402_5.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2605
Apr18_P402_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,6614
Apr18_P402_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1770
Sep17_P8_5.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,98
Sep17_P38_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,25
Apr18_P38_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,40
Sep17_P38_86.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,62
Apr18_P8_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,8687
Apr18_P4_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1426
Apr18_P402_52.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,280
Apr18_P22_0.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,57
Sep17_P8_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,30
Apr18_P8_5.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,3130
Apr18_P28_10.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2387
