AphiaID,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,taxonRank,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,Marine,Brackish,Fresh,Terrestrial,taxonomicStatus,Unacceptreason,LSID,Citation
368887,Sarcinochrysidaceae,"Gayral & Billard, 1977",368887,Sarcinochrysidaceae,"Gayral & Billard, 1977",Family,Chromista,Ochrophyta,Pelagophyceae,Sarcinochrysidales,Sarcinochrysidaceae,,,,,1,,,,accepted,,urn:lsid:marinespecies.org:taxname:368887,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Sarcinochrysidaceae Gayral & Billard, 1977. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=368887 on 2019-07-16"
157466,Sarcinochrysidales,"Gayral & Billard, 1977",157466,Sarcinochrysidales,"Gayral & Billard, 1977",Order,Chromista,Ochrophyta,Pelagophyceae,Sarcinochrysidales,,,,,,1,,,,accepted,,urn:lsid:marinespecies.org:taxname:157466,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Sarcinochrysidales. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab./aphia.php?p=taxdetails&id=157466 on 2019-07-16"
9,Sarcomastigophora,,,,,Phylum,Protozoa,Sarcomastigophora,,,,,,,,1,,,,unaccepted,disused,urn:lsid:marinespecies.org:taxname:9,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Sarcomastigophora. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=9 on 2019-07-16"
146644,Snowella,"Elenkin, 1938",146644,Snowella,"Elenkin, 1938",Genus,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Snowella,,,,0,0,1,0,accepted,,urn:lsid:marinespecies.org:taxname:146644,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Snowella Elenkin, 1938. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://marinespecies.org/HAB/aphia.php?p=taxdetails&id=146644 on 2019-07-16"
146645,Snowella lacustris,"(Chodat) Komárek & Hindák, 1988",146645,Snowella lacustris,"(Chodat) Komárek & Hindák, 1988",Species,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Snowella,,lacustris,,0,0,1,0,accepted,,urn:lsid:marinespecies.org:taxname:146645,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Snowella lacustris (Chodat) Komárek & Hindák, 1988. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146645 on 2019-07-16"
148740,Stramenopila,,7,Chromista,,Subkingdom,Protozoa,,,,,,,,,1,,,,unaccepted,,urn:lsid:marinespecies.org:taxname:148740,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Stramenopila. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/HAB./aphia.php?p=taxdetails&id=148740 on 2019-07-16"
160570,Synechococcaceae,,160570,Synechococcaceae,,Family,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,,,,,1,,,,accepted,,urn:lsid:marinespecies.org:taxname:160570,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Synechococcaceae. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/HAB./aphia.php?p=taxdetails&id=160570 on 2019-07-16"
345514,Synechococcales,,345514,Synechococcales,,Order,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,,,,,,1,,,,accepted,,urn:lsid:marinespecies.org:taxname:345514,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Synechococcales. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/HAB./aphia.php?p=taxdetails&id=345514 on 2019-07-16"
160571,Synechococcoideae,,160571,Synechococcoideae,,Subfamily,Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,,,,,,,,,accepted,,urn:lsid:marinespecies.org:taxname:160571,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Synechococcoideae. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/HAB/aphia.php?p=taxdetails&id=160571 on 2019-07-16"
493819,Synechococcophycideae,,493819,Synechococcophycideae,,Subclass,Bacteria,Cyanobacteria,Cyanophyceae,,,,,,,,,,,accepted,,urn:lsid:marinespecies.org:taxname:493819,"Guiry, M.D. & Guiry, G.M. (2018). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Synechococcophycideae. Accessed through: Moestrup, Ø.;  Akselmann, R.;  Fraga, S.; Hoppenrath, M.; Iwataki, M.; Komárek, J.; Larsen, J.; Lundholm, N.; Zingone, A. (Eds) (2009 onwards) IOC-UNESCO Taxonomic Reference List of Harmful Micro Algae at: http://www.marinespecies.org/HAB./aphia.php?p=taxdetails&id=493819 on 2019-07-16"
