representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
ad6dfc837550b177d564bf00ed25d8f0b9f77ea8,2759,Eukaryota,superkingdom,0.9228,NA,NA,NA,NA,NA,NA,NA
ae3eb63414d8c1bb606efb9cb03881f29fd8027b,2759,Eukaryota,superkingdom,0.995,NA,NA,NA,NA,NA,NA,NA
ae5d67ac31be4c4e21002ed23507a70b94917b7b,2759,Eukaryota,superkingdom,0.9047,NA,NA,NA,NA,NA,NA,NA
af7152e514a5fe07118bba71dc8d72265671a7d5,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2830,Haptophyceae,class,0.9999,NA,NA,Haptophyceae,NA,NA,NA,NA
b225bfcea8b5202dd0df2f78d413de25b8be5d77,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
b3b7552ad4cb087f2533f45f05c840503002203e,2759,Eukaryota,superkingdom,0.9943,NA,NA,NA,NA,NA,NA,NA
b57949f2759ef72fe986ab28e641f624ddef6661,2759,Eukaryota,superkingdom,0.9833,NA,NA,NA,NA,NA,NA,NA
b7eebc972a501f45dc75ca927257bb6f54df7023,2759,Eukaryota,superkingdom,0.9967,NA,NA,NA,NA,NA,NA,NA
b81c46025956944d1a86ee62411dd97631b6f31c,2759,Eukaryota,superkingdom,0.9948,NA,NA,NA,NA,NA,NA,NA
ba037c5747f64d983c0fc4f34104fc367b8bae71,1,root,no rank,1,NA,NA,NA,NA,NA,NA,NA
bb8c0ff1c2329d06c969ffe845ffaa1e2d3afecd,1,root,no rank,NA,NA,NA,NA,NA,NA,NA,NA
bc7798d3a55901fe59d6bb982bb5e6ab5a08c019,2759,Eukaryota,superkingdom,0.9984,NA,NA,NA,NA,NA,NA,NA
c770016f14d297194d21859a099a36519b97635a,2759,Eukaryota,superkingdom,0.9834,NA,NA,NA,NA,NA,NA,NA
c845851daf582de7a588dac1c525e0b4ec91ee6c,2759,Eukaryota,superkingdom,0.9354,NA,NA,NA,NA,NA,NA,NA
c97e203113b40b77e44612c1d6e835474a9ddfac,2759,Eukaryota,superkingdom,0.9941,NA,NA,NA,NA,NA,NA,NA
cbc84fc9cafee62700315e8cb2dd27fbde6be74d,2836,Bacillariophyta,phylum,1,NA,Bacillariophyta,NA,NA,NA,NA,NA
cc31829956f99898e6346ea28c395954ce5c56a9,2836,Bacillariophyta,phylum,1,NA,Bacillariophyta,NA,NA,NA,NA,NA
cc641d3be8658bf309461ade2f85466110d635ba,2759,Eukaryota,superkingdom,0.9378,NA,NA,NA,NA,NA,NA,NA
ce56d5057970a3d9709af7bb5c548c727816b6fc,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
ce7a39cabc8fa6136cfc5af5c815fc5293218520,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
d13a0f483b28881390987139922e613e72dd5fde,1,root,no rank,1,NA,NA,NA,NA,NA,NA,NA
d13c23a0ea32fc57891f85c61e71e1cea6585af9,1365474,Stephanodiscaceae,family,1,NA,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,NA,NA
d4912fca8a756d97baa6cea58c696ff660a942f9,2759,Eukaryota,superkingdom,0.998,NA,NA,NA,NA,NA,NA,NA
d5d36277d7a0ed0a8b541ff6ec54b500b0bf8c9e,2759,Eukaryota,superkingdom,0.9957,NA,NA,NA,NA,NA,NA,NA
d8ed22edb9b4c9c2eccdde41cecb635458209e93,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
dc4b8f2ec5e8982d1de4df7f6b77b5c65b328e36,2836,Bacillariophyta,phylum,1,NA,Bacillariophyta,NA,NA,NA,NA,NA
e294b257e9eaf219586d0deec990b0d66720bb9b,2759,Eukaryota,superkingdom,0.9961,NA,NA,NA,NA,NA,NA,NA
e64f574c4605dc812aceebd1d2a7d4607f42bd4d,2759,Eukaryota,superkingdom,0.9767,NA,NA,NA,NA,NA,NA,NA
ea1a9dadeda0c790e9f0424f891a3ed8ed566180,33208,Metazoa,kingdom,0.9134,Metazoa,NA,NA,NA,NA,NA,NA
eb3d04dad53ed7faa7a928f0c151d64f6fdf1ddd,2759,Eukaryota,superkingdom,1,NA,NA,NA,NA,NA,NA,NA
ecbcc3bd709776326a720729ad74c020c160aa3a,2759,Eukaryota,superkingdom,0.9891,NA,NA,NA,NA,NA,NA,NA
ecddda313c99815066bcbdf47177fc53c0d5a64f,2759,Eukaryota,superkingdom,0.9985,NA,NA,NA,NA,NA,NA,NA
f1e30f6bee6f562594421f929f343cb2dacd2dee,1,root,no rank,NA,NA,NA,NA,NA,NA,NA,NA
f38704bd7c105cd8f278e7383bc6740b84d2339b,2759,Eukaryota,superkingdom,0.995,NA,NA,NA,NA,NA,NA,NA
f480326f0c6c82489d3b525d63ed3f6d1313807f,2759,Eukaryota,superkingdom,0.9891,NA,NA,NA,NA,NA,NA,NA
